;arr_delay;name
0;11.0;United Air Lines Inc.
1;20.0;United Air Lines Inc.
2;33.0;American Airlines Inc.
3;-18.0;JetBlue Airways
4;-25.0;Delta Air Lines Inc.
5;12.0;United Air Lines Inc.
6;19.0;JetBlue Airways
7;-14.0;ExpressJet Airlines Inc.
8;-8.0;JetBlue Airways
9;8.0;American Airlines Inc.
10;-2.0;JetBlue Airways
11;-3.0;JetBlue Airways
12;7.0;United Air Lines Inc.
13;-14.0;United Air Lines Inc.
14;31.0;American Airlines Inc.
15;-4.0;JetBlue Airways
16;-8.0;United Air Lines Inc.
17;-7.0;JetBlue Airways
18;12.0;Envoy Air
19;-6.0;JetBlue Airways
20;-8.0;Delta Air Lines Inc.
